TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,date
4,4,The Color Purple,5205541,26.0,0.0,3203,1625,41646465,6,Warner Bros.,2023-12-30
5,5,Anyone But You,3685420,11.6,108.4,3055,1206,23072927,9,Columbia Pictures,2023-12-30
6,6,The Boys in the Boat,3093843,12.6,0.0,2557,1209,19440201,6,N/A,2023-12-30
7,7,The Iron Claw,1908861,12.0,22.9,2794,683,14928348,9,A24,2023-12-30
8,8,Ferrari,1531323,11.5,0.0,2386,641,9761637,6,Neon,2023-12-30
9,9,The Hunger Games: The Ballad of Songbirds & Snakes,1149329,4.5,-5.5,1660,692,159095811,44,Lionsgate Films,2023-12-30
10,10,The Boy and the Heron,950132,9.3,-16.6,940,1010,35283257,23,GKIDS,2023-12-30
11,11,Godzilla Minus One,931605,11.6,-17.7,1180,789,45068125,30,N/A,2023-12-30
12,12,Poor Things,921935,13.5,32.0,800,1152,9739118,23,Searchlight Pictures,2023-12-30
13,13,Trolls Band Together,723715,-7.1,0.1,1517,477,97082275,44,Universal Pictures,2023-12-30
14,14,Wish,493917,-5.3,8.2,1265,390,60286147,39,Walt Disney Studios Motion Pictures,2023-12-30
15,15,Dunki,424360,15.8,-56.4,478,887,6876559,10,Yash Raj Films USA Inc.,2023-12-30
16,16,Salaar,283744,2.4,-72.9,540,525,8131020,9,N/A,2023-12-30
17,17,Napoleon,206304,11.5,-38.0,750,275,60396573,39,Columbia Pictures,2023-12-30
18,18,Renaissance: A Film by Beyoncé,170869,2.3,-29.8,251,680,33126109,30,N/A,2023-12-30
19,19,American Fiction,165068,19.4,32.1,40,4126,1548174,16,MetroN/AGoldwynN/AMayer (MGM),2023-12-30
20,20,The Holdovers,78250,16.8,-24.3,237,330,18150135,65,Focus Features,2023-12-30
21,23,The Shift,51906,17.9,-52.9,170,305,11892996,30,Angel Studios,2023-12-30
22,21,Taylor Swift: The Eras Tour,51849,9.8,83.2,157,330,180524864,79,N/A,2023-12-30
23,24,Animal,51585,23.0,-46.1,49,1052,14747702,30,N/A,2023-12-30
24,22,All of Us Strangers,47841,6.7,24.1,6,7973,325574,9,Searchlight Pictures,2023-12-30
25,25,Saltburn,36005,-3.6,-44.2,112,321,11244179,44,Warner Bros.,2023-12-30
26,26,The Zone of Interest,35121,1.9,8.0,6,5853,447036,23,A24,2023-12-30
27,27,The Marvels,12436,29.6,-47.8,160,77,84472979,51,Walt Disney Studios Motion Pictures,2023-12-30
28,28,Anatomy of a Fall,12031,28.9,23.4,15,802,3741772,79,N/A,2023-12-30
29,32,Killers of the Flower Moon,11769,38.7,-8.6,37,318,67285012,72,Paramount Pictures,2023-12-30
30,30,Memory,10549,20.4,13.0,2,5274,72907,9,Ketchup Entertainment,2023-12-30
31,33,Thanksgiving,10082,19.5,-61.0,65,155,31797557,44,TriStar Pictures,2023-12-30
32,31,Dream Scenario,9753,13.9,0.0,36,270,5609573,51,A24,2023-12-30
33,29,Silent Night,9580,5.9,-77.2,64,149,7990613,30,Lionsgate Films,2023-12-30
34,34,Radical,7782,56.5,-1.2,14,555,8633974,58,Pantelion Films,2023-12-30
35,40,Stop Making Sense2023  Re-release,5554,592.5,647.5,8,694,5104386,100,N/A,2023-12-30
36,38,Priscilla,3907,41.2,-7.4,15,260,20898369,65,A24,2023-12-30
37,37,The Oath,3560,23.8,-44.2,16,222,467628,23,Freestyle Releasing,2023-12-30
38,36,Oppenheimer,2940,-2.3,42.7,25,117,326099935,163,Universal Pictures,2023-12-30
39,35,Journey to Bethlehem,2476,-20.3,-83.5,40,61,6815350,51,Affirm Films,2023-12-30
40,39,Eileen,1113,-55.4,-64.0,11,101,1424613,30,N/A,2023-12-30
41,42,Barbie,830,26.7,68.7,16,51,636225508,163,Warner Bros.,2023-12-30
42,41,Past Lives,656,-4.9,37.5,4,164,11030404,212,A24,2023-12-30
43,44,Smoke Sauna Sisterhood,69,-10.4,-50.0,1,69,14412,37,Greenwich Entertainment,2023-12-30
44,43,After Death,40,-70.8,-52.9,9,4,11477522,65,Angel Studios,2023-12-30
1,1,Wonka,5208897,-39.7,14.7,4051,1285,133129902,17,Warner Bros.,2023-12-31
2,2,Aquaman and the Lost Kingdom,4016267,-46.5,-19.7,3787,1060,76469713,10,Warner Bros.,2023-12-31
3,3,Migration,3888585,-39.1,52.9,3839,1012,54103955,10,Universal Pictures,2023-12-31
4,6,The Boys in the Boat,2558271,-17.3,0.0,2557,1000,21998472,7,N/A,2023-12-31
5,4,The Color Purple,2401177,-53.9,0.0,3203,749,44047642,7,Warner Bros.,2023-12-31
6,5,Anyone But You,1764458,-52.1,133.8,3055,577,24837385,10,Columbia Pictures,2023-12-31
7,7,The Iron Claw,1036574,-45.7,26.7,2794,371,15964922,10,A24,2023-12-31
8,8,Ferrari,1016843,-33.6,0.0,2386,426,10778480,7,Neon,2023-12-31
9,9,The Hunger Games: The Ballad of Songbirds & Snakes,623814,-45.7,3.5,1660,375,159719625,45,Lionsgate Films,2023-12-31
10,10,The Boy and the Heron,563298,-40.7,-13.8,940,599,35846555,24,GKIDS,2023-12-31
11,12,Poor Things,529918,-42.5,29.6,800,662,10269036,24,Searchlight Pictures,2023-12-31
12,11,Godzilla Minus One,512287,-45.0,-8.8,1180,434,45580412,31,N/A,2023-12-31
13,13,Trolls Band Together,457930,-36.7,43.0,1517,301,97540205,45,Universal Pictures,2023-12-31
14,14,Wish,323000,-34.6,35.0,1265,255,60609147,40,Walt Disney Studios Motion Pictures,2023-12-31
15,15,Dunki,284256,-33.0,-65.3,478,594,7160815,11,Yash Raj Films USA Inc.,2023-12-31
16,16,Salaar,137977,-51.4,-81.0,540,255,8268997,10,N/A,2023-12-31
17,17,Napoleon,137520,-33.3,-25.3,750,183,60534093,40,Columbia Pictures,2023-12-31
18,19,American Fiction,107309,-35.0,16.4,40,2682,1655483,17,MetroN/AGoldwynN/AMayer (MGM),2023-12-31
19,18,Renaissance: A Film by Beyoncé,97264,-43.1,-32.2,251,387,33223733,31,N/A,2023-12-31
20,20,The Holdovers,58520,-25.2,-9.1,237,246,18208655,66,Focus Features,2023-12-31
21,21,The Shift,32238,-37.9,-23.0,170,189,11925234,31,Angel Studios,2023-12-31
22,22,Taylor Swift: The Eras Tour,31462,-39.3,167.0,157,200,180556326,80,N/A,2023-12-31
23,23,Animal,29527,-42.8,-67.1,49,602,14777229,31,N/A,2023-12-31
24,24,All of Us Strangers,20940,-56.2,42.1,6,3490,346514,10,Searchlight Pictures,2023-12-31
25,26,The Zone of Interest,16751,-52.3,20.1,6,2791,463787,24,A24,2023-12-31
26,25,Saltburn,12333,-65.7,-50.5,112,110,11256512,45,Warner Bros.,2023-12-31
27,29,Killers of the Flower Moon,7149,-39.3,-25.6,37,193,67292161,73,Paramount Pictures,2023-12-31
28,27,The Marvels,6176,-50.3,-45.3,160,38,84479155,52,Walt Disney Studios Motion Pictures,2023-12-31
29,28,Anatomy of a Fall,6049,-49.7,12.9,15,403,3747821,80,N/A,2023-12-31
30,35,Stop Making Sense2023  Re-release,5686,2.4,922.7,8,710,5110072,101,N/A,2023-12-31
31,33,Silent Night,5572,-41.8,-78.9,64,87,7996185,31,Lionsgate Films,2023-12-31
32,32,Dream Scenario,5438,-44.2,0.0,36,151,5615011,52,A24,2023-12-31
33,30,Memory,5174,-51.0,13.5,2,2587,78081,10,Ketchup Entertainment,2023-12-31
34,31,Thanksgiving,3216,-68.1,-58.2,65,49,31800773,45,TriStar Pictures,2023-12-31
35,34,Radical,2325,-70.1,-26.6,14,166,8636299,59,Pantelion Films,2023-12-31
36,36,Priscilla,2123,-45.7,-26.2,15,141,20900492,66,A24,2023-12-31
37,38,Oppenheimer,1435,-51.2,184.2,25,57,326101370,164,Universal Pictures,2023-12-31
38,42,Past Lives,1292,97.0,-8.0,4,323,11031696,213,A24,2023-12-31
39,39,Journey to Bethlehem,1125,-54.6,-77.5,40,28,6816475,52,Affirm Films,2023-12-31
40,40,Eileen,660,-40.7,-69.2,11,60,1425273,31,N/A,2023-12-31
41,41,Barbie,475,-42.8,619.7,16,29,636225983,164,Warner Bros.,2023-12-31
42,37,The Oath,399,-88.8,-22.5,16,24,468027,24,Freestyle Releasing,2023-12-31
43,44,After Death,99,147.5,0.0,9,11,11477621,66,Angel Studios,2023-12-31
